City,Complete Name
Bengaluru,ADITYA BIRLA FASHION AND RETAIL LIMITED
,MAHINDRA & MAHINDRA LIMITED ( Punjab )
,ADARSHA PACKAGING PVT LTD
Gurugram,BAJAJ MOTORS LIMITED
,C AND S ELECTRIC LIMITED
,SIGMA AUTOMOTIVE MATERIALS PVT. LTD.
,CRAFTSMAN AUTOMATION LIMITED ( Bhiwadi )
Gurugram,Bhagwan Auto Products
,FOCUS ENTERPRISE
,Talbros Engineering Ltd.
,SONIA FORGINGS PVT. LTD.
,C & S ELECTRIC LIMITED ( Uttarakhand )
,JK MAINI PRECISION TECHNOLOGY LIMITED
Gurugram,MKG ENGINEERS
New Delhi,SIRONA HYGIENE PRIVATE LIMITED
,Shrinivas Engineering Autocomponents Pvt. Ltd
,SHIVANI LOCKS PRIVATE LIMITED (UNIT-I)
Rohtak,AISIN AUTOMOTIVE HARYANA PRIVATE LIMITED
An Phuoc Commune,Bosch Vietnam Co. Ltd.
,JONEJA HYDRAULICS PRIVATE LIMITED
,SIGMA CORPORATION (INDIA) PRIVATE LIMITED
,SIGMA MOULDS & STAMPINGS Pvt.Ltd
New Delhi,TABSONS INDIA INNOVATORS PRIVATE LIMITED
Delhi,BPC AUTOMOTIVE PRIVATE LIMITED
Hoshiarpur,INTERNATIONAL TRACTORS LIMITED
Gurugram,Indicators Manufacturing Company
,JBM AUTO LIMITED ( Pithampur )
,KNORR BREMSE INDIA PVT. LTD.
,LUBETECH INDIA
,Mahindra & Mahindra Ltd.
,ONASSIS AUTO LTD.
,S4Sourcing India Private Limited
,Sanko Svance JRG Tooling India Pvt. Ltd
,VE COMMERCIAL VEHICLES LIMITED
Gurugram,APPLIED TECHNO PRODUCTS PVT.LTD.
Bhiwadi,ARGL LIMITED ( Rajasthan )
Gurugram,ARGL LTD
Alwar,BAXY ENGINEERING LIMITED
Pune,CRADLEWISE MANUFACTURING PRIVATE LIMITED
,Denso Haryana Pvt. Ltd. (Jhajjar)
Gurugram,HIGHWAY ROOP PRECISION TECHNOLOGIES LIMITED
,Hi- LEX India Private Limited
Delhi,INDTECH CAPACITORS PRIVATE LIMITED
,MAHINDRA AND MAHINDRA LIMITED (Telangana )
,MOTHERSON TOOLS
,Mita India Pvt. Ltd.
,PREET TRACTORS PVT. LTD.
Gurugram,REVENT PRECISION ENGINEERING LIMITED
,REVENT PRECISION ENGINEERING LIMITED ( UNIT-VI )
,SATYAM PACKAGING
Panchmahal,SETCO AUTO SYSTEMS PRIVATE LIMITED
,Suprajit Engineering Ltd
,TALBROS AUTOMOTIVE COMPONENTS LTD.
,Tsuzuki India Precision LLP
,VFLOWTECH INDIA PRIVATE LIMITED
Haryana,AMALGAMATIONS VALEO CLUTCH PVT. LTD.
Ludhiana,AMRIT SOAP COMPANY
New Delhi,ANAND MOTOR PRODUCTS PVT LTD
Gurugram,ASK Automotive Limited Unit-XII
Vadodara,BANCO GASKETS (INDIA) LIMITED
Gurugram,BAXY LIMITED
,DOZCO INDIA PVT. LTD.
,EXCEL CONTROLINKAGE PVT LTD
Gurugram,HELLA INDIA LIGHTING LIMITED
,JAQUAR & CO. PVT. LTD.
,JAYSHRI PROPACK PVT LTD
,JCB INDIA LIMITED ( JCB BENGALURU PARTS CENTRE )
,Kapil Corepacks Pvt.Ltd.
,PRITIKA AUTO INDUSTRIES LTD. ( Himachal Pradesh )
,PRONK MULTISERVICE INDIA PRIVATE LTD.
,Pearl Engineering Co.
,S L INDUSTRIES
,SHIVALIK BIMETAL CONTROLS LIMITED
Rohtak,SHRI KRISHNA FORGINGS
,A SQUARE CONSTRUCTION COMPANY
New Delhi,ABC MULTAN CALCULATOR-(YR 22-23 )
New Delhi,AVIATION OVERSEAS SUPPLY LOGISTICS PRIVATE LIMITED
New Delhi,BANSAL WIRE INDUSTRIES LIMITED
Gurugram,BEEJAPURI FRESH PRODUCTS PRIVATE LIMITED
Gurugram,BEUMER INDIA PRIVATE LIMITED
Thane,BLAIN ELEVATING TECHNOLOGIES PRIVATE LIMITED
,BRIGHT POLYMERS
,BROTHERS PACKAGING
,Bindra Motors Pvt. Ltd.
Aligarh,CREATIVE & CROFTS INDUSTRIES INDIA PRIVATE LIMITED
New Delhi,CSH Power Himoinsa Private Limited
,D.S.ENGINEERS
Gurugram,DEGANIA MEDICAL DEVICES PVT. LTD.
,DHOOT TRANSMISSION PVT LTD
,DYNAMIC TRANSMISSION LTD
,EKDANTA CORPORATION ( S )
,Elematic India Pvt Ltd
,G M HI TECH
,GANGA ELECTRIC PVT LTD
,GLOBAL INDUSTRIAL CORPORATION
New Delhi,GRANDBULL IMPEX PRIVATE LIMITED
New Delhi,HIBEX INDIA PRIVATE LIMITED
Yamunanagar,ISGEC HEAVY ENGINEERING LIMITED
,Imperial Auto Industries Ltd.
,JAI BHAVANI MATA METWORKS PRIVATE LIMITED
,JAI PARVATI FORGE LIMITED
Gurugram,JBM AUTO LIMITED
,KAMA ENGINEERING WORKS
,KAPOOR  TRADING.
,KAY BOUVET ENGINEERINGS LTD.
,KESAR INDUSTRIES
,LUMAX INDUSTRIES LIMITED ( Pune )
,Lifeline Fire & Safety Systems Limited
,MAHINDRA AND MAHINDRA LTD. ( Jaipur )
New Delhi,MASL CONTROL CABLES PRIVATE LIMITED
,MEGA METALS
,MENON BEARINGS LIMITED
,MICO PLAST INDUSTRIES PVT. LTD.
,MINDA CORPORATION LIMITED
,Maruichi Kuma Steel Tube Pvt. Ltd.
,Metlonics Industries Pvt. Ltd.
,Mitsubishi Electric Automotive India (P) Ltd.
,Motherson Moulds and Diecasting Limited
,ONE87 GLOBAL TRADEPEX PRIVATE LIMITED
Faridabad,PREMIER PLASMOTEC PRIVATE LIMITED
,PSJ TECHNOLOGIES
,QH Talbros Pvt. Ltd.
,Qlar India Private Limited
,R M COMPONENTS PVT LTD.
,R.S. INDUSTRIES
,Raj Kamal Traderds
Bengaluru,SANSERA ENGINEERING LIMITED
,SHREE RAM PACKAGING INDUSTRIES (S)
Rewari,SHRI SHYAM INDUSTRIAL PRODUCTS
,SURLON INDIA LIMITED
,SWARAJ ENGINES LTD.
Gurugram,Shresty India
,TALBROS MARUGO RUBBER PVT. LTD.
,TRELLEBORG INDIA PRIVATE LIMITED
Ahmedabad,TY OPTICS INDIA PRIVATE LIMITED
,Trusco Nakayama Corporation
,UTKARSH ENGINEERING
Gurugram,VEEMAP TECHNOLOGIES PRIVATE LIMITED
Kolkata,WABTEC TEXMACO RAIL PRIVATE LIMITED
,WIPRO KAWASAKI PRECISION MACHINERY PRIVATE LIMITED
Alwar,3D ENGINEERING
New Delhi,AAYUSH FIRE PROTECTION
Uttar Pradesh,ABS SYSTEMS & SERVICES PVT LTD ( UP )
New Delhi,ABS Systems And Services (P) Ltd.
New Delhi,ACUMEN MANAGEMENT PARTNERS LLP
Noida,ADITYA INFOTECH LIMITED
Gurgaon,ADITYA SALES
