Sr. No,Comapnay,Product,Status,Location,Dealing  Person
1,KML,,No new update.,Binola,
2,Uno minda,LD Bags,Rates shared for Poly. MOQ details awaited for revised rates.,Gurgaon,Manan Sir / Isha
3,Spark Minda,"VCI Bag, RP Oil",VCI order received and dispatched. RP Oil trial is ongoing. Ayush Ji will confirm tomorrow.,Noida,Manan Sir / Isha
4,HSMI ,"VCI Paper , Desiccant",Samples will be submitted within 2–3 days.,Manesar,Manan Sir / Shikha
5,Maruti ,Desiccant,Lumax is involved in this project. Pending from Lumax end.,Gurgaon,Manan Sir
6,Suzuki,,"Rajesh Ji is not responding. We need to plan a meeting, but awaiting his confirmation.",Gurgaon,Manan Sir
7,CNH,,"Indore Sales Person (Abhishek) will be visiting their indore warehouse tomorrow.
Day after tomorrow, Pulak Ji will have a meeting with Shorya Ji in Noida (CNH).",Indore / Noida,Pulak Sir / Isha
8,Sonalika,,No new project.,"Hoshiarpur
",Shikha
9,IFB ,"PP Strap, Filamant tape, No marking tape",Samples delivered (3 sizes). Approval awaited.,,Isha
10,LG,,No new project.,,
11,Caparo ,,No new project.,,
,Honda,,,,
,Hero,,,,
,MIL,,,,
,MCL,,,,
,Motherson,,,,
