No,Comapnay,Product,Phone No,Mail Addrress,Location,Status,Country,6 Mar
1,Shyam Metallics,VCI Film,,,Kalkata ,Order Received,Domestic,New RFQ received-following up(LDPE roll)
2,Procucev/Viraj,VCI Paper Laminated,,,Bangalore ,closed,Domestic,
3,Sree Solutions,Honeycomb Paper,,,Bangalore ,closed,Domestic,
4,Fanuc India,Be Dry Desiccant,,,Banglore ,Order Received,Domestic,Delivered- dont have new requirement
5,TMS,Diesel C box -|| VW skoda  box || Ericssion,,,Gurgaon,In Discussion,Domestic,RFQ's on going
6,OJI,VCI Film,,,Faridabad,Quote Sent,Domestic,Hold from their customers end
7,SD Biosensor,HIC,,,IMT Manesar,closed,Domestic,Customer dont responds
8,Web Spring Global,WellAir,,,Jharkhand ,closed,Domestic,
9,Mech Glide Solutions,"Bopp Tape, VCI Paper",,,,closed,Domestic,
10,Stuewe Laraon India pvt Ltd,VCI Film,,,Imt Manesar,closed,Domestic,
11,Hawk Advance Technology,LD Bag,,,,Hold,Domestic,
12,CISEL,"Desiccant, HIC, LD Bag",,,Italy,following up,Export,next follow up- 3rd Feb
13,Walton,RP Oil,,,Bangladesh,following up,Export,No response
14,Berger Global,RP Oil,,,Germany,following up,Export,No response
15,Almeer Technical Services Co.,VCI Film Roll,,,UAE,Order Received,Export,Delivered shipment in Jan 26
16,San Automotive,RP793,,,Faridabad,Order Received,Domestic,"Delivered, no new requirement"
17,TATA Autocomp,Tray,,,Pune,Hold,Domestic,Sent WhatsApp to ritika to resume the enquiry.
18,Plasser,Al roll,,,Faridabad,Hold,Domestic,No new requirement 
19,Wika,VCI Paper,,,Gaziabad,Order Received,Domestic,vci poly order received
20,HPCL,C box,,,Pune,Waiting for response,Domestic,VRF Submitted- Shikha mam
21,Ficus PAX,VCI,,,UAE,Order Received,Export,We need to respond on the query-Manan sir
22,Nader distilleries,Air Coloum Bags,,,Lebnon,closed,Export,
23,Al Khaleej,VCI HDPE Rolls,,,UAE,Sample Sent,Export,sample not approved they are sending their sample to check- sample not received yet
24,Forvia- Hella India lighting,Tray,,,Ambala,In Discussion,Domestic,"Quote shared, follow up with customer"
25,Weelilgreens,"Punnet Boxes, MAP Bags",,,USA,closed,Export,
26,Vikrant,Moisture Absorbant Pads,,,Canda,closed,Export,
27,Magnum Packaging,Film Front Bags,,,UK,closed,Export,
28,Kirti,VCI-9820010539 | 8369753415,,,Mumbai,Hold,Domestic,
29,Pumpi,Barrier film,,,Macedonia,closed,Export,They arranged locally
30,"Gadre Marine Export,",Moisture Absorbant Pads,,,Ratnagiri,closed,Domestic,customer sample received- sent to China supplier
31,Tyson,Moisture Absorbant Pads,,,USA,closed,Export,
32,Tri-wall,VCI,,,Chennai,Quote Sent,Domestic,On hold- next followup on 14-2
33,EMI Solutions,VCI Film,,,Banglore,Order Received,Domestic,"Sent quote on VCI Paper on 9th, next follow up on 14-2"
34,Total Packaging Solutions FZE,VCI Film,,,UAE,closed,Export,all done from here: waiting for customer to respond
35,QOS MÜHENDİSLİK SAN. ve TİC. LTD. ŞTİ.,Sea Worthy packaging,,,Thailand,closed,Export,Not able to provide support in Thailand.
36,Blain India Pvt. Ltd.,VCI Film,,,Gujarat,Order Received,Domestic,Trial Order- 2 rolls delivered (GST + Freight to be paid)
37,Thulir Farm Fresh,MAP Bags,,,Tamil Nadu,Quote Sent,Domestic,"sent normal stock samples, customer will revert next week"
38,Defence R&D Organisation,Propasec & MBB,,,Bangalore,Quote Sent,Domestic,Following up- in process from their end (slow pace)
39,Rio Exports,BE Dry Ultra Desiccant,,,Delhi,Quote Sent,Domestic,"sent sample of BE dry, requirement hold as of now next follow up 16-2"
40,Sami Figeac,VCI Film,,,UAE,Quote Sent,Export,Jawad Whats app- not responding following up next 16-2
41,HCL,"ESD, Tape, Homeycomb paper, C box",,,Hyderabad,In Discussion,Domestic,"Resent lldpe samples and quote, waiting for feedback"
42,Anima Wings,HIC,,,Romania,Waiting for response,Export,"Can't match the requirement, sent 3, 6 dot HIC. Next follow up 16-2"
43,Pacific Logistics Solutipns,"VCI Film, Shrink Film, VCI Tablets, Aluminum",966 55 020 5572,Rauof@pacificlgs.com,KSA,following up,Export,customer: we need the product but let me confirm the quantity
44,Jindal Aluminum,VCI Paper Laminated,,,Banglore,Quote Sent,Domestic,Suggested propaflex: not interested 
45,Napino,LLDPE,,,IMT Manesar,Order Received,Domestic,Order cancelled
46,Shiv Shakti Traders,VCI 3D Bag,,,Bangalore,Quote Sent,Domestic,Waiting for customers feedback
47,Saideepa Rock Drills Pvt Ltd,VCI Paper Roll, 91 73866 99449',purchase@saideepa.com,Bangalore,Order Received,Domestic,sample order received & delivered
48,Aisin,Few RFQ's on Tray,,,Rohtak,Quote Sent,Domestic,followup on RFQ's frequently
49,Kanchee & Co.,BE Dry 70 Gm,,,tamilnadu,Quote Sent,Domestic,updated status Feb end.
50,Fabindia,,,,,Quote Sent,Domestic,"paperSy machine- 3 machines fabindia, Anirudh, chennai"
51,KML,,,,,Quote Sent,Domestic,Discuss with Gurpreet sir
52,CMT,C  Box,,,,Quote Sent,Domestic,specs asked from customer
53,GreyB Analytics Pvt. Ltd. | Singapore,Cushioning requirement,91 79 7321 3258',nilmani.kumar@greyb.com,Singapore,Quote Sent,Domestic,"Customer: will be sharing an email in upcoming days with you, containing a few query from our/client end."
54,Maa Satti Trading,VCI Film,91 75619 37663,maasattitradingcompany@gmail.com,Bhiwadi,Quote Sent,Domestic,16/0.093 (16/sqm): 173/kg VCI Film
55,Bosch,Slip Sheet,91 89398 65321,Dinesh.T@in.bosch.com,Bangalore,Quote Sent,Domestic,mail sent of quote
56,AL Khaleej,,971 56 762 8136,Praveen,UAE,Quote Sent,Export,
57,,,,,,Quote Sent,Domestic,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
