No,Comapnay,Product,Status,Location,
1,NBC,HM Poly Bags,No update received from NBC,Jaipur,
2,Honda,"VCI Film, HDPE, Wooden","We need to submit the samples for VCI HDPE Paper, and desiccant",Manesar,
3,Yamaha,"VCI Paper, RP Oil",Waiting for update for our trail order approval,"Chennai, TN",reminder
4,Eicher,Corrugated Boxes,No response ,Indore,abhishek
5,Skoda,"Compostable Bag, Transmission packaging",No response ,Pune,
6,Socomec,EPE Foam,Need to send the samples,Gurgaon,
7,Royal Enfield,"LD Autobags, Laminated Pouches","Will receive Autobags Po by this week... For VCI bags, they used our bags in export shipment; Will update feb 1st week ",Chennai,
8,Maruti,Paper Shredder Machine,Demo completed..quote submitted. Project is on hold,Gurgaon,
9,Mahindra & Mahindra,"VCI Bags, Desiccant, Tape",Order received ,Mumbai,
11,SMG,Tarpauline,Sample approved.. will proceed for E Auction,Gujrat,
12,C&S Electric,"ESD Bags, LD Ziplock Bags",Will receive the Po next week,Noida,
13,Utkarsh,Wooden Pallets,,Bhiwadi,
14,Kiswok,VCI Bags,"Samples approved, Po is on hold",Kolkata,
15,Lumax,EP Foam,"Sample approved, Asking for revised prices.. will plan a meeting in feb last week",Bawal,
16,Sonia,VCI Bags,Order Received,Bhiwadi,
17,T Suzuki,Wooden Pallet,No requirement yet..will confirm for the meeting,Manesar,
18,Onassis,VCI Bags,"Order Received, quote sent for new sizes",Manesar,
19,Sadhu Forgings,"VCI HDPE Bags, VCI Paper",Will send Po next week,Faridabad,
20,Jindal Aluminium Limited,VCI Sheet,Quote sent.. need to send the samples,Bangalore,
21,Dzinepack,VCI Bags,,Pune,
22,GM Hitech,"VCI Bags, Wooden Pallet",,Bhiwadi,
23,JONEJA HYDRAULICS PRIVATE LIMITED,Wooden Boxes,They may have a requirement. Will check and update,Bhiwadi,
24,Creative Crofts,RP Oil,No requirement yet,Aligrah UP,tarun sir
25,Sleek,VCI Bags,"Samples approved, will receive trail po soon",Rohtak,
26,Mega Metal,Wooden Boxes (Set),New enquiry received for wooden & corrugated boxes.. Will submit the quote,Bhiwadi,
,Craftsman,,,,
,isgec,,NEW PO status,,
,Metso,,,,
,Fitsol,,,,
,NRB,,,,
,Brothers packaging,,,,
,Setco ,,,Pulak,
,Maxop,,,,
,Baxy,,,,
