ITEMCODE,ITEMNAME,IT_PARTNO,IT_PARTNAME,UOM
IC-1.RB.RB.000105,Corrugated Box - Benz - Printed/14    x 14   x  10 INCH,,Corrugated Box - Benz - Printed,PCS
IC-1.RB.RB.000106,Corrugated Box - Benz - Printed/14   x  10   x  15 INCH,,Corrugated Box - Benz - Printed,PCS
IC-1.RB.RB.000107,Corrugated Box - Brake Shoe  - Printed/110 x 50 x 65 MM,,Corrugated Box - Brake Shoe  - Printed,PCS
IC-1.RB.RB.000108,Corrugated Box - Brake Shoe  - Printed/135 x  65 x 80 MM,,Corrugated Box - Brake Shoe  - Printed,PCS
IC-1.RB.RB.000109,Corrugated Box - Chain Set  - Printed/8     x  8   x  1.75 MM,,Corrugated Box - Chain Set  - Printed,PCS
IC-1.RB.RB.000110,Corrugated Box - Printed/15    x  15  x 18  INCH,,Corrugated Box - Printed,PCS
IC-1.RB.RB.000111,Corrugated Box - Relay  - Printed/50   x 110 x 110 MM,,Corrugated Box - Relay  - Printed,PCS
IC-1.RB.RB.000112,Corrugated Box - Relay - Printed/20   x 25  x 45  MM,,Corrugated Box - Relay - Printed,PCS
IC-1.ORF.CCFG.000113,ALLIECB/CORRUGATED BOX,ALLIECB,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000114,ASKAUCB110/CORRUGATED BOX/110 X 50 X 65 mm,ASKAUCB110,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000115,ASKAUCB111/CORRUGATED BOX/135 X 65 X 80 mm,ASKAUCB111,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000116,"BUSCHCB161/CORRUGATED BOX/1610X715X950MM, 5 PLY",BUSCHCB161,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000117,CAPARCB119/CORRUGATED BOX/1190 X 990 X 850 MM,CAPARCB119,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000118,CAPARCB380/CORRUGATED BOX/380 X 600,CAPARCB380,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000119,DAIDOCB175/CORRUGATED BOX/Size :- 8 X 8 X 1.75,DAIDOCB175,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000120,HGIAUCB/CORRUGATED BOX With Wooden Pallet /YOKE KIT PALLET,HGIAUCB,CORRUGATED BOX With Wooden Pallet,PCS
IC-1.ORF.CCFG.000121,HGIAUCB/CORRUGATED BOX With Wooden Pallet/ORBITOR PALLET,HGIAUCB,CORRUGATED BOX With Wooden Pallet,PCS
IC-1.ORF.CCFG.000122,HGIAUCB101/CORRUGATED BOX/1092 x 1010 x 980  Sleeve,HGIAUCB101,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000123,"HGIAUCB104/CORRUGATED BOX/ 1120x1040 , LID",HGIAUCB104,CORRUGATED BOX,PCS
IC-1.ORF.CCFG.000124,HGIAUCB109/CORRUGATED BOX/ 1092x1010x980,HGIAUCB109,CORRUGATED BOX,PCS
IC-1.RHPR.RHPR.000234,HDPE Paper / 1200 MM - 150 GSM (3 Layer),,HDPE Paper,KGS
IC-1.RHPR.RHPR.000235,HDPE Paper /1200 MM- 150 GSM (4 Layer),,HDPE Paper,KGS
IC-1.RHPR.RHPR.000236,HDPE Paper /36 INCH -100  Mtrs,,HDPE Paper,SQM
IC-1.RHPR.RHPR.000237,HDPE Paper /36 INCH -200 Mtrs,,HDPE Paper,SQM
IC-1.SLD.SDFGS.000238,"UNITEVP36/VCI HD PAPER_/ 36"" X 200 Mtr",UNITEVP36,VCI HD PAPER_,SQM
IC-1.SLD.SDFGS.000239,UNITEVP750/VCI HDPE PAPER/750 x 750 mm,UNITEVP750,VCI HDPE PAPER,PCS
IC-1.FGST.TGF.000240,"AMTEKHR60/HDPE TAPE/ 2"" X 60 Mtr",AMTEKHR60,HDPE TAPE,SQM
IC-1.FGST.TGF.000241,ARGLLHT/HDPE TAPE/GH,ARGLLHT,HDPE TAPE,ROLL
IC-1.FGST.TGF.000242,"DUROSHT65/HDPE TAPE/2"" 65 mtr",DUROSHT65,HDPE TAPE,ROLL
IC-1.FGST.TGF.000243,"INDICHT26/BROWN TAPE/2""*65 mtr",INDICHT26,BROWN TAPE,PCS
IC-1.FGST.TGF.000244,"INDICHT265/HDPE TAPE/2""*65 mtr",INDICHT265,HDPE TAPE,PCS
IC-1.FGST.TGF.000245,"OCAPCHP65/HDPE TAPE/Size :- 2"" X 65 Mtr",OCAPCHP65,HDPE TAPE,PCS
IC-1.FGST.TGF.000246,PRIMEHDR25/HDPE Roll/1.2 X 250 mtr 5rol,PRIMEHDR25,HDPE Roll,PCS
IC-1.FGST.TGF.000247,PVCLEHT65/HDPE TAPE,PVCLEHT65,HDPE TAPE,ROLL
IC-1.FGST.TGF.000248,"UNITECHT65/HDPE TAPE/ 2"" X 65 Mtr",UNITECHT65,HDPE TAPE,ROLL
IC-1.FGST.TGF.000249,VECOMHT17/HDPE TAPE/TAPE SPU 171 50 MTR(HDPE),VECOMHT17,HDPE TAPE,ROLL
IC-1.FGST.TGF.000250,VECOMHT50/HDPE TAPE,VECOMHT50,HDPE TAPE,ROLL
IC-1.FGST.TGF.000251,VECOMHT65/HDPE TAPE/Plain BOPP Tape 72mmx65 mtr,VECOMHT65,HDPE TAPE,PCS
IC-1.HCA.HCA.000252,Honey Comb Box/1750 x 750 x 980 mm,,Honey Comb Box,PCS
IC-1.HCA.HCA.000253,Honey Comb Box/1850 x 825 x 970 mm,,Honey Comb Box,PCS
