Activities,City,Complete Name,Country
,Alwar,3D ENGINEERING,India
,New Delhi,AAYUSH FIRE PROTECTION,India
,New Delhi,ABC MULTAN CALCULATOR-(YR 22-23 ),India
,Uttar Pradesh,ABS SYSTEMS & SERVICES PVT LTD ( UP ),India
,New Delhi,ABS Systems And Services (P) Ltd.,India
,New Delhi,ACUMEN MANAGEMENT PARTNERS LLP,India
,Noida,ADITYA INFOTECH LIMITED,India
,Bhiwadi,AGGARWAL INDUSTRIAL SOLUTIONS,India
,Bhiwadi,AGGARWAL STEELS,India
,Bhiwadi,AGGARWAL STEELS ( NEW ),India
,Gurgaon,AIRTEL RELATIONSHIP NO. 11448299,India
,Solan,AIS ADHESIVE LIMITED,India
,Noida,AKG PLASTICS PVT LTD,India
,Bawal,ALIGN ART,India
,New Delhi,ALSUN ENTERPRISES,India
,Haridwar,ALUDECOR LAMINATION PVT LTD,India
,Rewari,AMAR MOTOR COMPANY,India
,Bawal,AMAR-FREIGHT_x000D_,India
,Bawal,AMARNATH INTERNET SOLUTION PRIVATE LIMITED,India
,New Delhi,AMBA TRADERS,India
,Bawal,AMIT CONTT.,India
,Bawal,AMRESH CHAND - CONT,India
,Bawal,ANAND-CONT_x000D_,India
,Bawal,ANANDRAO PANDURANG WAYKAR,India
,Bawal,ANHAD ASSOCIATES,India
,Bawal,ANIL PASWAN _x000D_,India
,Bawal,ANIL RAO_x000D_,India
,Bawal,ANIL-CONT_x000D_,India
,Bawal,ANKUSH JHA _x000D_,India
,Bawal,ANKUSH RAWAT_x000D_,India
,Bawal,ANOOP AGGARWAL_x000D_,India
,Bawal,ANOOP KUMAR_x000D_,India
,Uttar Pradesh,APL APOLLO TUBES LIMITED 1,India
,Gurgaon,ARCHIE LANDSCAPE,India
,Bawal,ARJUN PAINTER_x000D_,India
,Bawal,ARJUN RAWAT_x000D_,India
,New Delhi,ARORA TRADING CO.,India
,Faridabad,ARRANT METALS PRIVATE LIMITED,India
,Bawal,ARUN KISHOR_x000D_,India
,Bawal,ARUNLAL-CONT_x000D_,India
,Bawal,ARVIND DUBEY_x000D_,India
,Bawal,"ARVIND KISHOR_x000D_
_x000D_",India
,Bawal,ARVIND SAHNI_x000D_,India
,New Delhi,ASAP HARDWARE SOLUTIONS,India
,Mumbai,ASHTE LOGISTICS PVT LTD,India
,Bawal,ASHUTOSH HARDWARE _x000D_,India
,Bawal,ASHWINI-CONT_x000D_,India
,Bawal,ASWANI KUMAR_x000D_,India
,Pantnagar,AUTOLINE INDUSTRIES LTD,India
,Bawal,AVNI ENTERPRISES,India
,Gurgaon,AXALTA COATING SYSTEMS INDIA PVT LTD,India
,Rewari,AXCEL  GASES,India
,New Delhi,AZZURE PAINTS & CHEMICALS,India
,Manesar,Aarohi Steels,India
,Gurugram,Abc Pvt Ltd,India
,Dharuhera,Abhishek Automobiles,India
,Pune,Adinarayan Engineering Pvt. Ltd.,India
,Rewari,Aggarwal Furniture,India
,Bawal,Aggarwal Gases & Industries,India
,Vapi,Allied Spares & Auto Parts MFG. Co. (P) Ltd.,India
,New Delhi,Amba Trading Co.,India
,Bawal,Amit Kumar Contractor,India
,Manesar,Anash Marketing,India
,Bawal,Anuj Kumar - Contractor,India
,Pantnagar,Anusaya Auto Press Parts Pvt Ltd.,India
,New Delhi,Arihant Infocom,India
,Gurgaon,Aryan Packaging,India
,New Delhi,Ashish Popli Design,India
,Gurgaon,Ashoka Battery House,India
,New Delhi,Auto Source,India
,Bawal,B N FABRICATOR,India
,Rewari,B.K. AUTO PARTS,India
,Rewari,B4S  COMPLETE SOLUTIONS,India
,New Delhi,BADRI ENGINEERS,India
,New Delhi,BAJAJ ALLIANZ GENERAL INSURANCE COMPANY,India
,Bawal,BALAJI ENGG. & FABRICATION  WORKS,India
,New Delhi,BALAJI TRANSPORT,India
,Bawal,BALBIR SINGH-CONT,India
,New Delhi,BARANWAL COMPUTRONIX,India
,Gurgaon,BASCAMOTORWORKS,India
,Pune,BHAGWATI TOOLS PVT. LTD.,India
,New Delhi,BHAGWN SHRI LOCKS PRIVATE LIMITED,India
,Jamshedpur,BHALOTIA ENGG. WORK PVT LTD,India
,Ambala,BHARAT SANCHAR NIGAM LIMITED,India
,Rewari,BHARAT TRUNK HOUSE NEW,India
,Gurgaon,BHAWANI INDUSTRIAL CORPORATION,India
,Bawal,BHEEMNATH - CONT_x000D_,India
,New Delhi,BHUTANI INTERNATIONAL PVT LTD,India
,Bawal,BIRENDRA-CONT_x000D_,India
,Bawal,BIRJU SINGH-CONT_x000D_,India
,New Delhi,BISHAMBER NATH HEM CHAND_x000D_,India
,Bawal,BKD ENTERPRISES,India
,Gurgaon,BR Marketing & Distributions,India
,Bawal,BRAJESH-CONT_x000D_,India
,Gurgaon,BRISE AIR TECHNOLOGIES PVT LTD,India
,Gurgaon,BS Traders,India
,New Delhi,BUSINESS COACHING INDIA LLP,India
,Bawal,Baba Crane Service,India
,Bawal,Bajrang Battery House,India
,New Delhi,Bansal Steel Tube Co.,India
,Bawal,Bawal Auto Fuels,India
,Gurgaon,Benq India (P) Ltd. - HARYANA,India
,Bawal,Bhagat Singh (Cont.),India
,Bawal,Bhagirath Tailor (Cont.),India
,New Delhi,Bharti  General Manufacturers (India),India
,Gurgaon,CAPITAL VEHICLES  SALES LTD.- MGF TOYOTA,India
,Gurgaon,CDR FACILITY MANAGEMENT SERVICES,India
,Panipat,CEASEFIRE INDUSTRIES PVT LTD,India
,Bawal,CHANDA HARDWARE & GLASS ALUMINIUM HOUSE,India
,Gurgaon,CHANDRA PRAKASH YADAV- ADVOCATE,India
,Pune,CHEMETALL INDIA PRIVATE LIMITED,India
,Gurgaon,CHHAYA DIE & MOULD CO.,India
,New Delhi,CITY FIRE PRO SYSTEMS,India
,Gurgaon,COHESIVE TECHNOLOGIES PVT LTD,India
,Jabalpur,COMMERCIAL AUTOMOBILES PVT LTD,India
,New Delhi,CONSULT INDIA NETWORK,India
,New Delhi,CUMMINS SALES & SERVICE PRIVATE LIMITED,India
,Pune,CVG SEATING PRIVATE (INDIA) PRIVATE LIMITED,India
,New Delhi,Ceasefire Industries Limited ( DELHI ),India
,Manesar,Chanchal Agencies,India
,Sonipat,Chandra Lakshmi Safety Glass Ltd.,India
,Pune,Chinta Mani'S,India
,Bawal,Choudhary Traders,India
,New Delhi,D.D AMARNATH,India
,"Timbhi, Valsad",DAISY INDUSTRIES,India
,Dharuhera,DAISY MOTORS,India
,Pune,DAMANI SHIPPING (P) LTD.,India
,Gurgaon,DAWARA ENTERPRISES,India
,New Delhi,DAYAL LABELS,India
,New Delhi,DEE VEE COMMUNICATIONS PVT. LTD,India
,Gurgaon,DEEP GENSETS,India
,Bawal,DEEPAK KUMAR-CONT_x000D_,India
,Bawal,DEEPU CHANDRA-CONT_x000D_,India
,New Delhi,DEEWANSHI COMPUTER,India
,New Delhi,DELHI MACHINERY STORES,India
,Gurgaon,DEO ENGINEERING CONSULTANTS,India
,Bawal,DEVA TRAVELS & TRANSPORT,India
,Bawal,DEVENDER SINGH _x000D_,India
,Pune,DEWAS METAL SECTIONS LTD,India
,Bawal,DHARAM PAL REGAR ( CONT ),India
,Bawal,DHBVN Ltd.,India
,Faridabad,DIGITAL INSTRUMENTATION,India
,Bawal,DINANATH  KUMAR_x000D_,India
,Bawal,DINANATH _x000D_,India
,Bawal,DINESH CHAND-CONT_x000D_,India
,Bawal,DINESH-CONT_x000D_,India
,Bawal,DIWAKAR JOSHI-CONT_x000D_,India
,New Delhi,DJS _ AUTOMOTIVE,India
,Gurgaon,DURGA METAL,India
,Sonipat,DYNEMECH SYSTEMS PVT. LTD.,India
,Gurgaon,Davy Air Services,India
,Faridabad,Dee Kay Product,India
,New Delhi,Design Direct,India
,Faridabad,Digital Calibration Technology,India
,Gurgaon,Divine Innovation,India
,Bahadurgarh,Duratuf Glass Industries (III),India
,New Delhi,Duratuf Glass Industries (P) Ltd - Unit II,India
,New Delhi,Durian Industries Ltd.,India
,Pune,EFTEC ( INDIA ) PVT LTD,India
,Pune,EMDET ENGINEERS PVT LTD,India
,Jodhpur,ESDEE PAINTS LTD JAIPUR,India
,Ahmedabad,ESDEE PAINTS LTD. - Gujrat,India
,Bhilwara,ESSPAL INTERNATIONAL PVT LTD,India
,Gurgaon,EURONICS INDUSTRIES  PVT LTD,India
,Bhiwadi,EVERGREEN ENTERPRISE,India
,Gurgaon,EXAINFOTECH (I) PVT LTD,India
,Mumbai,EXCELENCIA INDUSTRIES,India
,New Delhi,EXPRESS CARGO CONTAINERS,India
,Pune,Electrica Engineers (I) Pvt. Ltd.,India
,Gurgaon,Elegant Car Interiors,India
,Lucknow,Emprise Marketing,India
,New Delhi,Eram Manpower Services,India
,"Parnera,Valsad",Excel Alugraphics Pvt.Ltd.,India
,Noida,Extra Marks Education India (P) Ltd.,India
,Bawal,FARMAN ALI,India
,Rewari,FAST GRIP,India
,Ahmedabad,FOCUS LIGHTING & FIXTURES LTD. (GUJRAT),India
,Mumbai,FOCUS LIGHTING & FIXTURES LTD. (Maharashtra),India
,Gurgaon,FUTURE GENERAL INDIA INSURANCE CO LTD,India
,Bawal,Fine Coat's,India
,Gurgaon,Fire & Safety Hubs,India
,New Delhi,Fusicox International,India
,Manesar,G.S. HARDWARE,India
,Bawal,GANESH-CONT_x000D_,India
,Faridabad,GANPATI STEEL,India
,Alwar,GARV ENTERPRISES,India
,Bawal,GAURAV GUPTA _x000D_,India
,Bawal,GAURAV KUMAR_x000D_,India
,Ghaziabad,GAURAV STEELS,India
,Rewari,GIAN SWEETS,India
,Vadodara,GITAPB AUTOMOTIVE INDUSTRIES PVT LTD,India
,Gurgaon,GLOBAL TRADERS-OTHERS,India
,Suryapet,GMR TRUCK AND BUS WHEEL ALIGNMENT SOLUTIONS,India
,Bawal,GOINDI ENGINEERING WORKS PVT LTD,India
,Manesar,GOLDMINE ASSOCIATES,India
,Ahmednagar,"GOVT. OF INDIA, MINSTRY OF DEFENCE",India
,Rewari,GOYAL CHEMI TRADE PVT LTD,India
,Gurgaon,GR ALUMINIUM & GLASS HOUSE,India
,Gurgaon,GR SALES CORPORATION,India
,New Delhi,GRK Info Service Pvt. Ltd,India
,New Delhi,GS1 INDIA,India
,Gurgaon,GUJARAT ENVIRO-PROTECTION AND INFRASTRUCTURE PVT LT,India
,Manesar,GUPTA ENGINEEERING WORKS,India
,New Delhi,GUPTA IRON & STEEL CO.,India
,Rewari,Garg Timber & Iron Industries,India
,Ghaziabad,Gaurang Products Pvt. Ltd.,India
,Manesar,Geeken Seating Collection (P) Ltd.,India
,Gurgaon,Gera Electronic World,India
,Bawal,Ghanshyam Trading Co.,India
,Rewari,Gobind Plywood Traders,India
,New Delhi,Goodluck Industries,India
,Bawal,Gopal,India
,New Delhi,Gulati Rexine Emporium (P) Ltd.,India
,Bawal,Gupta Industrial Traders,India
,Rewari,Gupta Paints & Hardware Store,India
,Bawal,H&H WAREHOUSE SOLUTION,India
,Rewari,HANS RESORTS,India
,Faridabad,HANU INDUSTRIES,India
,Jaipur,HANUMAT MACHINE TOOLS,India
,Bawal,HARESHWAR CONT.,India
,Bawal,HARPREET SINGH _x000D_,India
,Gurgaon,HARSH METAL,India
,Gurgaon,HARYANA ENVIRONMENT MANAGEMENT SOCIETY,India
,Rewari,HARYANA MACHINERY STORE,India
